phase,polit,state
1,1,California
1,1,Colorado
1,1,Connecticut
1,1,Delaware
1,1,Hawaii
1,1,Illinois
1,1,Maine
1,1,Nevada
1,1,New Jersey
1,1,New Mexico
1,1,New York
1,1,Oregon
1,1,Rhode Island
1,1,Washington
1,2,Kansas
1,2,Louisiana
1,2,Michigan
1,2,Minnesota
1,2,Montana
1,2,North Carolina
1,2,Pennsylvania
1,2,Virginia
1,2,Wisconsin
1,3,Maryland
1,3,Massachusetts
1,3,New Hampshire
1,3,Vermont
1,4,Alabama
1,4,Alaska
1,4,Arizona
1,4,Arkansas
1,4,Florida
1,4,Georgia
1,4,Idaho
1,4,Indiana
1,4,Iowa
1,4,Kentucky
1,4,Mississippi
1,4,Missouri
1,4,North Dakota
1,4,Ohio
1,4,Oklahoma
1,4,South Carolina
1,4,South Dakota
1,4,Tennessee
1,4,Texas
1,4,Utah
1,4,West Virginia
1,4,Wyoming
2,1,California
2,1,Colorado
2,1,Connecticut
2,1,Delaware
2,1,Hawaii
2,1,Illinois
2,1,Maine
2,1,Nevada
2,1,New Jersey
2,1,New Mexico
2,1,New York
2,1,Oregon
2,1,Rhode Island
2,1,Washington
2,2,Kansas
2,2,Louisiana
2,2,Michigan
2,2,Minnesota
2,2,Montana
2,2,North Carolina
2,2,Pennsylvania
2,2,Virginia
2,2,Wisconsin
2,3,Maryland
2,3,Massachusetts
2,3,New Hampshire
2,3,Vermont
2,4,Alabama
2,4,Alaska
2,4,Arizona
2,4,Arkansas
2,4,Florida
2,4,Georgia
2,4,Idaho
2,4,Indiana
2,4,Iowa
2,4,Kentucky
2,4,Mississippi
2,4,Missouri
2,4,North Dakota
2,4,Ohio
2,4,Oklahoma
2,4,South Carolina
2,4,South Dakota
2,4,Tennessee
2,4,Texas
2,4,Utah
2,4,West Virginia
2,4,Wyoming
3,1,California
3,1,Colorado
3,1,Connecticut
3,1,Delaware
3,1,Hawaii
3,1,Illinois
3,1,Maine
3,1,Nevada
3,1,New Jersey
3,1,New Mexico
3,1,New  York
3,1,Oregon
3,1,Rhode Island
3,1,Virginia
3,1,Washington
3,2,Kansas
3,2,Kentucky
3,2,Louisiana
3,2,Michigan
3,2,Minnesota
3,2,Montana
3,2,North Carolina
3,2,Pennsylvania
3,2,Wisconsin
3,3,Maryland
3,3,Massachusetts
3,3,New Hampshire
3,3,Vermont
3,4,Alabama
3,4,Alaska
3,4,Arizona
3,4,Arkansas
3,4,Florida
3,4,Georgia
3,4,Idaho
3,4,Indiana
3,4,Iowa
3,4,Mississippi
3,4,Missouri
3,4,North Dakota
3,4,Ohio
3,4,Oklahoma
3,4,South Carolina
3,4,South Dakota
3,4,Tennessee
3,4,Texas
3,4,Utah
3,4,West Virginia
3,4,Wyoming
4,1,California
4,1,Colorado
4,1,Connecticut
4,1,Delaware
4,1,Hawaii
4,1,Illinois
4,1,Maine
4,1,Nevada
4,1,New Jersey
4,1,New Mexico
4,1,New York
4,1,Oregon
4,1,Rhode Island
4,1,Virginia
4,1,Washington
4,2,Kansas
4,2,Kentucky
4,2,Louisiana
4,2,Michigan
4,2,Minnesota
4,2,North Carolina
4,2,Pennsylvania
4,2,Wisconsin
4,3,Maryland
4,3,Massachusetts
4,3,Vermont
4,4,Alabama
4,4,Alaska
4,4,Arizona
4,4,Arkansas
4,4,Florida
4,4,Georgia
4,4,Idaho
4,4,Indiana
4,4,Iowa
4,4,Mississippi
4,4,Missouri
4,4,Montana
4,4,New Hampshire
4,4,North Dakota
4,4,Ohio
4,4,Oklahoma
4,4,South Carolina
4,4,South Dakota
4,4,Tennessee
4,4,Texas
4,4,Utah
4,4,West Virginia
4,4,Wyoming
5,1,California
5,1,Colorado
5,1,Connecticut
5,1,Delaware
5,1,Hawaii
5,1,Illinois
5,1,Maine
5,1,Maryland
5,1,Massachusetts
5,1,Michigan
5,1,Minnesota
5,1,New Jersey
5,1,New Mexico
5,1,New York
5,1,Oregon
5,1,Rhode Island
5,1,Washington
5,2,Arizona
5,2,Kansas
5,2,Kentucky
5,2,Louisiana
5,2,North Carolina
5,2,Pennsylvania
5,2,Wisconsin
5,3,Nevada
5,3,Virginia
5,3,Vermont
5,4,Alabama
5,4,Alaska
5,4,Arkansas
5,4,Florida
5,4,Georgia
5,4,Idaho
5,4,Indiana
5,4,Iowa
5,4,Mississippi
5,4,Missouri
5,4,Montana
5,4,New Hampshire
5,4,North Dakota
5,4,Ohio
5,4,Oklahoma
5,4,South Carolina
5,4,South Dakota
5,4,Tennessee
5,4,Texas
5,4,Utah
5,4,West Virginia
5,4,Wyoming